symbol,ex_date,amount_per_unit,distribution_type,notes
PGINVIT,2023-05-31,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2023-08-02,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2023-11-13,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2024-01-30,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2024-05-28,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2024-08-01,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2024-11-12,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2025-01-27,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2025-05-29,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2025-08-08,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2025-11-10,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2026-02-12,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2026-05-20,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2026-07-31,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
