symbol,ex_date,amount_per_unit,distribution_type,notes
LIQUIDBEES,2019-02-28,3.142984,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2019-03-31,3.414762,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2019-04-30,3.188005,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2019-05-31,3.343666,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2019-06-30,3.020385,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2019-07-31,3.033567,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2019-08-30,2.789018,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2019-09-30,2.828347,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2019-10-31,2.5807,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2019-11-29,2.462351,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2019-12-31,2.6165,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2020-01-31,2.472436,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2020-02-28,2.101325,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2020-03-31,1.623751,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2020-04-30,1.4847,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2020-05-31,1.830485,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2020-06-30,1.857763,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2020-07-31,2.053509,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2020-08-31,1.6781,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2020-09-30,2.058299,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2020-10-29,1.784823,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2020-11-30,1.888084,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2020-12-31,1.877047,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2021-01-31,1.893051,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2021-02-28,1.790707,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2021-03-31,2.131499,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2021-04-30,1.949854,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2021-05-31,1.791073,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2021-06-30,2.133871,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2021-07-30,1.542761,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2021-08-31,2.021478,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2021-09-30,1.586718,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2021-10-31,2.187418,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2021-11-30,2.104476,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2021-12-31,2.023106,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2022-01-31,2.384756,dividend,Yahoo Finance chart dividend event
